Company Name,Phone Number,Category,Website URL
Shimizu Corporation HQ,+81 3-3561-1111,Construction company,http://www.shimz.co.jp/
Gilbane,+81 3-6264-8040,Construction company,https://www.gilbaneco.com/location/tokyo/
"Wakachiku Construction Co., Ltd.",+81 3-3492-0271,Construction company,https://www.wakachiku.co.jp/company/profile.html
Aomi Construction,+81 3-5209-7761,Construction company,https://www.aomi.co.jp/
TAKEUCHI,+81 3-5322-1101,HVAC contractor,https://airsolution.takeuchi-corp.com/?utm_source=google&utm_medium=maps
Linesight Japan KK,+81 50-5050-9519,Quantity surveyor,https://www.linesight.com/contact-us/apac/tokyo/
Daiho Corporation,+81 3-3297-7000,Construction company,https://www.daiho.co.jp/
株式会社東京躯体,+81 3-3666-9181,Construction company,http://tokyokutai.co.jp/
Satohide Corporation,+81 3-3225-0311,Construction company,https://www.satohide.co.jp/
Eight-Japan Engineering Consultants Inc.,+81 3-5341-5152,Civil engineering company,https://www.ejec.ej-hds.co.jp/
,,,
