Company Name,Phone Number,Category,Website URL
Ray Laurence Constructions,+61 407 035 868,Home builder,http://www.rlconstruct.com.au/
Palmerston Constructions,+61 401 363 279,Contractor,
NT Construction Solutions,+61 8 8984 3914,Construction company,https://ntconstructionsolutions.com.au/
TLJ Property Services,+61 420 724 822,Electrician,http://tljpropertyservices.com.au/
Alfa Developments,+61 8 8932 7286,Home builder,http://www.alfadevelopments.com.au/
BMD,+61 8 8930 4455,Construction company,http://www.bmd.com.au/
Coplin Carpentry,+61 458 675 606,Carpenter,
Bohlin Plant & Offroad,+61 413 339 417,Mechanical plant,
DAC Enterprises,+61 8 8932 4488,Construction company,http://www.dacenterprises.com.au/
Pattemore Constructions,+61 8 8988 0300,Construction company,http://www.pattcon.com.au/
KTM Builders,+61 421 453 537,Home builder,https://www.ktmbuilders.com.au/
TTC Services,+61 414 017 387,Construction company,https://www.ttcservices.com.au/
Florance Property Solutions,+61 8 8983 3000,Handyman/Handywoman/Handyperson,https://www.florancepropertysolutions.com.au/
Trojon Contractors,+61 8 8932 1010,Fence contractor,https://trojoncontractors.com/
Tropical Lifestyle Homes,+61 415 470 073,Home builder,https://www.tlhomes.com.au/
WTD Constructions,+61 8 8919 4494,Construction company,https://www.wtdnt.com.au/
Abode New Homes,+61 483 917 633,Home builder,https://www.abode.com.au/
Wilson Contracto,+61 8 8121 4459,Handyman/Handywoman/Handyperson,http://wilsoncontracto.com/
No Hassall's Electrical Air-conditioning and Solar,+61 488 222 131,Electrician,https://nohassalls.com.au/
SAR Contracting,+61 418 546 076,Contractor,
DCT Australia​,+61 418 808 070,Excavating contractor,
Edwards Construction Group,+61 8 8988 2023,Construction company,
GSK Patrick Builders,+61 8 8932 8338,Home builder,http://buildersdarwin.com/
Akron Group Nt Pty Ltd,+61 8 8932 6006,Construction company,http://www.akrongroupnt.com.au/
ADAMANT Property Services,+61 8 8931 4777,Construction company,http://adamantservices.com.au/
Politis Roofing,+61 8 8931 1031,Roofing contractor,https://politisroofing.com.au/
"*A Antenna Man Darwin - DNP Installations Darwin - TV Antennas, Cabling, Satellite installations & repairs",+61 438 874 192,Antenna service,http://www.dnpinstallations.com/
Florance Electrical,+61 8 8983 3000,Electrician,https://floranceelectrical.com.au/?utm_source=gbp&utm_medium=organic&utm_campaign=local
Andrew Harvey Building,+61 439 280 975,Home builder,http://www.andrewharveybuilding.com.au/
Forecast Machinery,+61 8 8931 4868,Earth works company,https://forecastmachinery.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
24/7 Plumbing and AC,+61 472 649 595,Plumber,https://www.facebook.com/profile.php?id=100089961066008&mibextid=LQQJ4d
Darwin Bathroom Renovation Specialists,+61 1300 942 011,Bathroom remodeler,http://www.darwinbathrooms.com/
Gibson Civil Contracting Pty Ltd,,Contractor,
Austar Underground Services,+61 402 503 073,Drilling contractor,https://www.austarundergroundservices.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Cutting Edge Carpentry and Constructions NT,+61 488 017 750,Construction company,https://cuttingedgent.com/
Iron Clad Renovation & Construction,+61 434 109 123,Bathroom remodeler,https://www.facebook.com/ironcladrenovations/?utm_source=google&utm_medium=organic&utm_campaign=gmb
MOB Building Certifiers Pty Ltd,+61 8 8932 6070,Building consultant,http://mobnt.com.au/
Ireland Air Con Clean: -Services Palmerston NT & Surrounds,+61 412 600 425,HVAC contractor,https://irelandairconclean.com.au/
Sitzler,+61 8 8922 4000,Construction company,http://www.sitzler.com.au/
Territory Gloss Works,+61 419 749 196,Contractor,
Calipso Pools & Spas,+61 8 8931 0041,Swimming pool supply store,http://www.calipsopoolsandspas.com.au/
Topline Steel Fabrication,+61 8 8932 2555,Steel fabricator,
Territory Power Solutions,+61 8 8947 2005,Aluminium Supplier,http://www.nthandrails.com/
