Company Name,Phone Number,Category,Website URL
ITB Nigeria Limited,+234 14638303,Construction company,http://www.itbng.com/
ELALAN Construction Company,+234 815 096 5387,Construction company,http://www.elalan.com/
GIUSEPPINA PROJECTS LIMITED,+234 803 207 5290,Construction company,http://www.giuseppinaprojects.com/
Cappa & D'Alberto Plc,+234 12120481,Construction company,http://www.capdal.com/
"Dutum Construction Company Ltd - Construction Company in Lagos, Nigeria",+234 805 831 7200,Construction company,http://www.dutumgroup.com/
"Business Contracting Limited, Construction and Civil Engineering",+234 12917910,Construction company,https://www.bclnig.com/
Hitech Construction Company Ltd,+234 916 000 8874,Construction company,http://www.hitech-company.com/
Construction Kaiser Limited,+234 706 237 4572,Construction company,https://constructionkaiser.com/
Arbico PLC,+234 12950547,Construction company,http://www.arbico.ng/
Craneburg Construction Company,+234 814 000 0488,Construction company,http://www.craneburg.com/
Hitech Construction Company Ltd Gbagada Office yard,+234 14633183,Road construction company,http://www.hitech-company.com/
Monterosa Construction Limited,+234 805 112 4843,Construction company,
Rosettee Construction,+234 809 018 1943,Construction company,http://www.rosettee-construction.co/
Ocean Crest Group | EPC Company in Lagos Nigeria | Construction Company in Lagos Nigeria,+234 802 666 4690,Civil engineering company,http://oceancrestgroupng.com/
Arab Contractors,,Construction company,https://www.arabcont.com/
SAMANATE CONSTRUCTION LIMITED,+234 802 752 8211,Construction company,
Dori Construction And Engineering Nigeria Limited,+234 806 025 4016,Construction company,
SANA GROUP HEAD QUARTER,+234 902 700 0000,Construction company,https://www.sanaglobalprojects.com/
SMC CONSTRUCTION NIGERIA LTD.,+234 803 338 2562,Construction company,http://www.smcnigerialimited.com/
Jedha Engineering and Construction Company Ltd - Construction Company,+234 816 453 8836,Construction company,https://jeccl.com/
Carrillion Construction,+234 907 333 3393,Construction company,http://www.carrillionng.com.ng/
Lee Engineering and Construction Company Limited.,+234 708 416 6957,Construction company,http://www.lee-engineering.net/
Migliore Construczione & Tecniche Limited,+234 12918542,Construction company,http://www.mcandt.com.ng/
Still Earth Construction,+234 14637488,Construction company,http://stillearthconstruction.com/
POA Adit Nigeria Limited,+234 2348 12 7139,Construction company,https://poaadit.com/
CIBA CONSTRUCTION COMPANY LIMITED,+234 906 296 4623,Construction company,http://www.cibaconstruction.com/
Stellar Constructions Ltd.,+234 906 254 7077,Construction company,https://stellarconstructionsltd.com/
J & G Engineering and Construction Services Limited,+234 706 143 2990,Construction company,https://jg-engineeringltd.com/
Ronchess Global Resources PLC,+234 703 545 0117,Road construction company,http://www.ronchessglobal.com/
Gibraltar Construction Nigeria Ltd,+234 913 997 4444,Construction company,http://gcnig.com/
Mar & Mor Integrated Services Ltd Lagos Office,+234 816 942 4648,Construction company,http://www.marandmor.com/
Brossette Nigeria Limited,+234 703 928 8786,Construction company,
Dumarco Construction Limited,+234 907 777 7883,Construction company,http://www.dumarcoltd.com/
Springpraiz Construction Limited,+234 902 618 0012,Construction company,http://springpraizconstructionltd.org/
First Synergi Construction Limited,+234 812 268 7371,Construction company,https://www.firstsynergihomes.com/
Tast Qua Sat Construction Company (Nigeria) Limited,+234 802 303 2551,Construction company,
Mase Contractors Limited,+234 809 222 3461,Construction company,http://www.masecontractors.com/
Oat Construction,+234 805 659 9664,Construction company,
Nivafer Engineering and Construction Ltd,+234 808 563 6882,Steel construction company,https://www.nivafer.com/
Garnet Construction Nigeria Ltd,+234 902 222 2225,Construction company,http://www.garnetconstruct.com/
Fountain Construction Company,+234 903 069 5033,Construction company,https://fcc.ng/
Mega Labourers Services Limited,+234 707 491 3626,Construction company,https://www.megalabourers.com/
Ranjy Construction & Foundation,,Construction company,https://www.rcfnigeria.com/
RCF Nigeria Limited,+234 805 665 6678,Construction company,http://rcfnigerialtd.com/
Laphix Construction Company Limited,+234 805 552 8553,Civil engineering company,http://laphixconstructions.com/
Sevan Construction Nigeria Ltd,+234 809 990 3222,Steel fabricator,http://www.sevan-nigeria.com/
Glowsworth Engineering - Construction Company in Lagos,+234 815 724 1768,Construction company,
"Vita Construction Ltd, Correspondence Office",+234 903 041 7598,Construction company,http://www.vita-construction.com/
Times Construction Co. Ltd.,+234 2348 09 7402,Construction company,http://timesconstructions.com/
Ariosh,+1 713-499-0300,Construction company,https://www.ariosh.com/
Our Home Fixer Limited,+234 705 718 9327,Construction company,https://ourhomefixer.com/
Rebar Perfecta Ltd,+234 904 000 1010,Construction company,http://www.rebarperfecta.com.ng/
ADVANCED LANDPRO LTD,+234 701 904 0004,Construction company,http://www.advancelandpro.com/
Aklab Nigeria Limited,+234 805 509 7771,Construction company,http://www.aklabengineering.com/
Extreme Piling and Construction,+234 906 962 9925,Civil engineering company,http://extremepiling.com.ng/
