Company Name,Phone Number,Category,Website URL
Shanghai Modern Construction Company Design （Group） Limited Company,,Construction company,
Shanghai Wanhua Construction Company Limited Company,,Construction company,
"Shanghai Pioneer Construction Company Engineering Co.,Ltd.",,Construction company,
"Toenec Construction （Shanghai） Co.,Ltd.",,Construction company,
Xika （China） Construction Company Material Limited Company Shanghai Branch,,Construction company,
Shanghai Water Supply Construction Company,,Construction company,
Jiangsu Hongda Construction Group Shanghai Jinshan Company,,Construction company,
Shanghai Longmao Construction Company Decoration Limited Company,,Construction company,
Shanghai Li'an Construction Company Technology Limited Company,,Construction company,
Shanghai Aijie Construction Limited Company,,Construction company,
Shanghai Baoshan Yimin Construction Company Decoration Company,,Construction company,
"Shanghai Qiangrong Construction Company Decoration Engineering Co.,Ltd.",,Construction company,
"Shanghai Longbo Construction Engineering Co.,Ltd.",,Construction company,
"Xunfa Decoration Engineering Co.,Ltd.",,Construction company,
Shanghai Lingchen Construction Company Decoration Limited Company,,Construction company,
"Shanghai Gonglong Construction Company Installation Engineering Co., Ltd.",,Construction company,
"Shanghai Gongtai Construction Company Engineering Co.,Ltd.",,Construction company,
Shanghai Hugang Construction Devlopment Limited Company,,Construction company,
"Bovis Lend Lease Projects （Shanghai） Co.,Ltd.",,Construction company,https://www.lendlease.com/cn/contact-us/
"Shanghai VMC Interiors Co.,Ltd.",,Construction company,http://www.vmcglobal.com/
Shanghai Longbo Construction Devlopment Limited Company,+86 136 2188 8008,Construction company,
"Shanghai Jinhong Construction Engineering Co.,Ltd.",+86 21 5794 1176,Construction company,
"Shanghai Rongshan Construction Company Engineering Co.,Ltd.",,Construction company,
Shanghai Luhui Urban And Rural Construction Devlopment Limited Company,,Construction company,
Shanghai Outer Gaoqiao Free Trade Zone Construction Devlopment Limited Company,,Construction company,
"Shanghai Longdu Construction Company Installation Engineering Co.,Ltd.",,Construction company,
Shanghai Rui'an Construction Company Limited Company,,Construction company,
"Shanghai Shuangquan Construction Company Decoration Engineering Co.,Ltd.",+86 21 6604 9329,Construction company,
61 Construction Company Design Siren Limited Company Shanghai Representative Office,,Construction company,
"Shanghai Shenhong Construction Company Decoration Engineering Co., Ltd.",,Construction company,
Shanghai Gongcheng Construction Devlopment Limited Company,,Construction company,
"Shanghai Xianglong Construction Company Decoration Engineering Co.,Ltd.",,Construction company,
Jihe Construction Company Design,,Construction company,
Shanghai Luhai Construction Limited Company,,Construction company,
Shanghai Gongkang Construction Decoration Engineering Branch,,Construction company,
"Shanghai Shengjun Architecture and Engineering Co., Ltd.",+86 21 5640 7490,Construction company,
"Shanghai Waigaoqiao Building Installation Development Co.,Ltd.",,Construction company,
Shanghai Tangyuan Decoration Limited Company,+86 21 6465 5568,Construction company,
上海共展建筑安装有限公司,,Construction company,
"Shanghai Zhuzong Overseas Construction Engineering Co.,Ltd.",,Construction company,
上海环龙拆房办公室,,Construction company,
上海金洹工程建设有限公司,,Construction company,
上海垒阳装潢公司,+86 21 6231 6062,Construction company,
上海永安坊装修队,+86 136 2175 7465,Construction company,
Shanghai Rongheng Construction Packing Limited Company,,Construction company,
上海鼎励建筑装潢有限公司,+86 21 5025 5909,Construction company,
Shenshan Construction Company Decoration Limited Company,,Construction company,
上海永高建设有限公司,+86 21 6319 2588,Construction company,
Shanghai Xinfengjing Construction Devlopment Limited Company,,Construction company,
上海古松建设开发有限公司,,Construction company,
上海丰百装潢有限公司,,Construction company,
"Shanghai Pugao Construction Engineering Co.,Ltd.",,Construction company,
Shanghai Junyuan Construction Drawing Examing Center,,Construction company,
上海新宝建筑安装工程有限公司,,Construction company,
上海欣益建筑装饰有限公司,,Construction company,
Jinniao Decoration,+86 21 5410 9890,Construction company,
上海闽域建筑装潢有限公司,+86 21 5083 7810,Construction company,
Modern Design Group Shanghai Modern Huagai Construction Company Design Limited Company,,Construction company,
上海飞磊建筑装潢有限公司,+86 21 6622 7331,Construction company,
Hongting Decoration,+86 21 6856 5439,Construction company,
Shanghai Zhu'an Construction Development Company Limited,,Construction company,
上海凌宸建筑装潢有限公司,+86 21 5219 4052,Construction company,
"Shanghai China National Chemical Engineering Co.,Ltd.",,Construction company,
Kangpeifu Construction Company Design Consultation （Shanghai） Limited Company,,Construction company,
上海名彩建筑装潢有限公司,,Construction company,
上海东虹建筑安装有限公司,,Construction company,
上海博龙建设工程有限公司,,Construction company,
Shanghai Jingcan Engineering Construction Supervision Company,,Construction company,
"Shanghai Hongyu Construction Company Engineering Co.,Ltd.",,Construction company,
"Shanghai Shengnan Construction Engineering Co.,Ltd.",,Construction company,
田华建筑装潢公司,+86 21 5811 5313,Construction company,
Changyi Decoration,+86 21 6855 4672,Construction company,
上海中民建筑装潢有限公司,,Construction company,
"Citymark AECOM Co.,Ltd.",,Construction company,
Shanghai Abisi Construction Company Design Limited Company,,Construction company,
上海生华建筑装潢安装公司,+86 21 5852 6910,Construction company,
上海颖丰建筑安装服务有限公司,,Construction company,
上海贸胜家庭装潢有限公司,,Construction company,
上海正开建筑装潢工程有限公司,,Construction company,
上海瑞馨建设工程有限公司,,Construction company,
上海平翔建设工程有限公司,,Construction company,
"Shanghai Changrong Construction Company Engineering Co.,Ltd.",,Construction company,
展胜装潢公司,+86 135 2454 5275,Construction company,
上海时乐建设发展有限公司,,Construction company,
上海米丈建筑设计有限公司,,Construction company,http://www.minax.com.cn/
"Shanghai Bridge And Construction Company Engineering Co.,Ltd.",,Construction company,
新加坡SGP建筑有限公司,,Construction company,
"Shanghai Shengchuang Municipal Construction Company Engineering Co.,Ltd.",,Construction company,
上海鼎和建筑装潢工程有限公司,,Construction company,
上海南唐装潢有限公司吴泾分公司,+86 21 6452 7418,Construction company,
上海旭紫装潢有限公司,+86 21 5867 8842,Construction company,
亚创(上海)工程技术有限公司,,Construction company,https://jobs.51job.com/all/co2587994.html
Heipaopao Construction Company Design Company,,Construction company,
Shanghai Senshengshi Yangwu Building Engineering Company,,Construction company,
上海瑞帆建筑安装工程有限公司,,Construction company,
深圳金粤幕墙装饰工程有限公司-上海分公司,,Construction company,
"Shanghai Horse Construction Co., Ltd",,Corporate office,
云兰装潢,+86 21 6611 1368,Construction company,http://www.shyunlan.com/
"Shanghai Partman Design & Construction Co., Ltd.",,Company,
上海大昌建筑工程有限公司,,Construction company,
上海意华室内装璜公司,,Construction company,
上海良广建筑装潢工程有限公司,,Construction company,
上海云峰建设有限公司,,Construction company,
上海辰飞建筑劳务服务有限公司,,Construction company,
上海彭浦商品住宅开发总公司,,Construction company,
上海鲁汇建筑工程有限公司,,Construction company,
上海文宇建设发展有限公司,,Construction company,
上海现代建筑设计集团建设实业有限公司,,Construction company,
盛奥装潢,+86 21 6629 6109,Construction company,
上海市安装工程有限公司吴泾基地,,Construction company,
上海辽苏建筑装潢工程有限公司,,Construction company,
上海住陆建筑发展有限公司,,Construction company,
Shanghai Chong Kee Furniture & Construction,6286 0000,Interior designer,
"Shanghai Huagang Engineering Construction Supervision Co.,Ltd.",,Company,
Shanghai Baogang Construction Supervision Limited Company,,Company,
上海东徽建筑装饰工程有限公司,+86 21 6226 9447,Construction company,
上海吴淞口开发有限公司工程部,,Construction company,
"Shanghai Aoling Construction Engineering Co.,Ltd.",,Corporate office,
China Construction Shanghai Design & Research Institute,,Research institute,http://shin.cscec.com/
,,,
