Company Name,Phone Number,Category,Website URL
شركة المقاولون العرب - The Arab Contractors,+20 2 22913348,Construction company,http://www.arabcont.com/
Cairo Contracting Company,+20 11 45902000,Construction company,http://cairocontracting.com/
Elite Construction EG,+20 10 70921177,Construction company,https://elite-cg.com/ar/
EDECS El Dawlia for Engineering & Contracting Head Office,+20 2 25412100,Construction company,https://www.edecs.com/
Constec - Construction & Design S.A.E,+20 2 27738940,Construction company,http://www.construction-eg.com/
Egyptian Contracting,+20 2 33448713,Contractor,
ACC (Arabian Construction Company),+20 2 25421001,Construction company,
Orascom Construction,+20 2 24611111,Construction company,http://www.orascom.com/
Gama construction,+20 2 27250182,Construction company,https://gama.com.eg/
Scas for construction and finishing,,Construction company,http://www.scas-egypt.com/
Grid fine finishes,+20 2 27350048,Construction company,http://www.gridff.com/
"SIAC, Industrial Construction & Engineering Company",+20 2 48835333,Construction company,http://www.siac.com.eg/
Darko Construction Co.,+20 2 33038519,Construction company,http://www.darko-eg.com/
Archirodon Cairo Office,+20 2 26738881,Construction company,http://www.archirodon.net/
Concord Engineering & Contracting,+20 2 27530487,Construction company,http://www.concord-ec.com/
Dorra Contracting,+20 2 35371341,Construction company,https://dorra-contracting.com/
ACROW,+20 2 25255814,Construction company,http://www.aics-eg.com/
Core Construction and Finishing,+20 11 01895566,Construction company,https://coreconstruction-eg.com/
Nextep Construction,+20 2 22411668,Construction company,https://nextepconstruction.com/
ALPHA Construction - Interior Design Company,+20 11 11999518,Construction company,https://alphaconstruction-eg.com/
Arab Contractors Company (Bridges and Specialized Structures Department),+20 2 24035951,Construction company,
شركة المهران جروب للمقاولات,+20 12 72809100,Contractor,https://www.facebook.com/kh.mahran123/
Contrade Egypt,+20 2 24155262,Construction company,https://contradeegypt.com/
I-Contracting Mep Smart Solutions,+20 2 33039037,Contractor,http://www.icontracting-eg.com/
El Soadaa Group for Construction,+20 2 27041297,Construction company,https://elsoadaa.com/
Contrade Engineers & Contractors,+20 2 33368229,Contractor,
Otak Construction,+20 2 23900406,Construction company,http://otakconstruction.com/
Nile Global Construction,+20 2 37619690,Construction company,http://nileglobal.com/
Sectors Construction,+20 2 33468007,Construction company,http://www.sectors-construction.com/
Major for Construction and Decoration,+20 2 20644023,Construction company,http://major-eg.com/
Rowad Modern Engineering,+20 2 23581518,Construction company,https://rowad-rme.com/
Pinnacle Construction Projects,+20 2 24188350,Construction company,http://pcp-eg.net/
ElSafwa For Contracting,+20 10 09777798,Construction company,https://www.facebook.com/ElsafwaCompanyElzaher
Heights Contracting,+20 10 07424030,Construction company,https://www.instagram.com/heightscco/
The Arab Contractors for Facility Management (S.A.E.),+20 2 24520720,Construction company,https://www.acfm.com.eg/
Industrial Engineering Co. For Construction & Development - Icon,+20 12 02930943,Construction company,http://www.iconegypt.com/
Darko Constructions SAE,+20 2 27357231,Construction company,http://www.darko-eg.com/
EGENCO (Egyptian engineering and contracting),+20 12 22169540,Construction company,https://www.egenco.co/
STM For Engineering & Contracting,+20 2 24042204,Construction company,http://www.stmeng.com/
Egyptian General Contracting Office to set up and road paving,+20 12 25371282,Road construction company,https://theegyptianoffice.com/
National General Contracting & Supplies,+20 2 26906140,Construction company,http://www.nspo.com.eg/nspo/ar/construct.html
MEGA,+20 2 26216192,Construction company,http://megaci-eg.com/
Edecs,,Construction company,http://www.edecs.com/
EEC Group - Engineering Enterprises for Civil & Steel Constructions S.A.E,+20 2 22669002,Construction company,https://eecegypt.com/
EGY.contractors,+20 11 55525610,Corporate office,http://www.egycontractors.com/#home
American International Contractors (Special Projects),,Construction company,http://www.archirodon.net/
Cairo For Contracting & Construction,+20 2 22694293,Construction company,https://www.yellowpages.com.eg/en/profile/%D9%83%D8%A7%D9%8A%D8%B1%D9%88-%D9%84%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%84%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%A7%D9%86%D8%B4%D8%A7%D8%A1%D8%A7%D8%AA/627463
Barco Misr Construction,+20 2 24183021,Construction company,
Cairo Roads & Constructions,+20 10 05553361,Road construction company,http://www.cairoroads.com/
Consolidated Contractor Company,+20 2 27260300,Contractor,
Load Contractors (LC),+20 12 28028081,Construction company,http://www.load-contractors.com/
AGR International,+20 2 26356964,Construction company,http://agr-egypt.com/
CONTRA,+20 10 50551133,Construction company,http://www.contra-eg.com/
ORYX CONSTRUCTION,+20 2 25178314,Construction company,http://www.oryx.construction/
Egypt Builders Developments,+20 0215779,Real estate developer,https://egy-builders.com/
Gec General & Electromechanical Co.,+20 2 25743870,Contractor,http://www.gec-egypt.com/
Al shams For Contracting And Engineering,+20 10 05169760,Construction company,http://www.alshams.com.eg/
CTS Egypt,+20 2 25168500,Steel construction company,https://ctsegypt.org/
Alhamd Contracting Company,+20 2 23654524,HVAC contractor,http://alhamd.com.eg/
Arab Contractors Rowing Club,+20 2 33388621,Rowing club,
Elite Construction,+20 2 25633278,Construction company,https://elite-cg.com/ar/
Archirodon,+20 2 22701440,Construction company,http://www.archirodon.net/
Tatweer Misr,+20 2 27929892,Real estate developer,http://www.tatweermisr.com/
New Cairo City,+20 11 11485718,Interior designer,https://www.posheinterior.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8308282033750067392
Trust Egypt For Contracting Company,+20 2 23849426,Construction company,http://trustegyptco.com/
New work ACC Head office,,Construction company,
Al Dhabi Contracting Company- الظبي للمقاولات,+20 2 20824278,Corporate office,
ArchiTrade Egypt,+20 2 27354120,Contractor,
ORA Egypt,+20 2 21267500,Real estate developer,https://ora-egypt.com/
Saudi Egyptian Developers,+20 2 22300306,Real estate developer,http://www.se-developers.com/
Egyptian Arab Contracting,+20 2 33041702,Construction company,http://eac-eg.com/
Tabarak For Engineering & construction. cairo,+20 2 33469547,Construction company,http://www.tabarak-co.com/
شركة مصر كونتراكت للمقاولات والتوريدات العمومية,+20 12 29090604,Contractor,
شركة البستان جلوبال جاردن,,Construction company,
شركة الاسماعيليه للانشاءات - زين العابدين عبدالحليم,+20 10 08999954,Manufacturer,https://www.icc.com.eg/
tracenatures,+20 10 90098082,Asphalt contractor,
صنية لوادر,,Construction company,
ادريسكا,,Construction company,
Green Egypt (old office ),,Construction company,
Solid Constructions,+20 2 27353623,Corporate office,https://solidegypt.com/
ICH Innovations,+20 12 29269240,Interior designer,http://www.ichinnovations.com/
Gec-Nidyon company,+20 11 10677000,Road construction company,
القاهر مصر,,Logging contractor,
شركه وولز لافيستا هيلز,,Real estate developer,
TEC-COM,+20 2 23914770,Construction company,http://www.tec-com.org/
مشروعات شركة البارون بمدينة نصر,+20 10 65235175,Contractor,
اسيوط,,Home builder,
Galaxy Cleaning Egypt,+20 15 59936270,Upholstery cleaning service,https://galaxycleaning-services.com/
B3 For construction,+20 12 11716731,Construction company,
Assas Construction,,Construction company,
الموسه,,Home builder,
G Construction,+20 10 67806160,Construction company,
اشرف الصعيدي,,Home builder,
Elhandassia company,+20 11 11156063,Civil engineering company,
شركه السالم استيراد و التصدير,+20 12 27348730,Construction company,
IHG,+20 10 10474803,Real estate developer,
YASMINA MAKRAM,,Interior designer,http://www.yasminamakram.com/
kenz el.omr,+20 11 26367644,Real estate developer,
Riwaq,+20 2 27371126,Architectural designer,
Egyptian Society of Civil Engineers,+20 10 05006481,Civil engineering company,
United Communication & Construction,+20 12 05990018,Construction company,
Moon,+20 2 22675172,Construction company,http://mooncontracting-msm.com/
Tahoon Group,+20 12 04927025,Real estate developer,
