Company Name,Phone Number,Category,Website URL
McMullen Trades,+61 8 8645 5011,Home builder,https://www.mcmullentrades.com.au/
Coppins Building and Construction Pty Ltd,+61 8 8645 1573,Home builder,http://cbac.net.au/
Steve White General Builders,+61 8 8645 8484,Construction company,http://stevewhitegeneralbuilders.com.au/
Whyalla bricklayers,+61 492 140 901,Bricklayers,
Dogar Trades Registered as Dogar Constructions,+61 468 721 583,Construction company,https://www.dogartrades.com.au/
Delmac Building and Glass,+61 8 7150 1330,Construction company,
Ice Engineering & Construction PTY LTD,+61 8 8644 2333,Construction company,https://www.iceengineering.net.au/
Aquest,+61 8 8644 2244,Electrician,https://aquest.com.au/
Ewings Contractors,+61 408 810 243,Contractor,
Whyalla Earthworks,+61 428 897 981,Excavating contractor,http://whyallaearthworks.com.au/
Whyalla Fencing,+61 483 812 243,Fence contractor,
Summit Electrical Management & Automation,+61 480 082 265,Electrician,https://www.summit-electrical.com.au/
Alep Electrical,+61 418 849 496,Electrician,
A.S. Carlson & Sons,+61 8 8645 8122,Plumber,
Hermann Constructions,,Construction company,
ECM Services,+61 437 002 773,Electrician,
See Us Maintenance Services,+61 408 810 281,Building consultant,
A. & G. D'orazio & Co. Pty. Ltd.,,Concrete contractor,
Bianco Construction & Industrial Supplies Whyalla,+61 8 8645 2696,Construction equipment supplier,https://www.bianco.com.au/
Diggers Civil,+61 438 527 046,Contractor,https://www.diggerscivilconstruction.com/
Stassi Engineering Pty Ltd.,+61 8 8645 2244,Engineering consultant,http://www.stassieng.com.au/
Aceblock,+61 8 8645 0033,Roofing contractor,
Mckellar Electrical,,Electrician,
Liberty Primary Steel - Whyalla Steelworks,+61 1800 178 335,Steel framework contractor,https://onesteelmanufacturing.com.au/
Jim Higgins,+61 419 779 759,Plumber,
Coates Whyalla,+61 8 8647 5600,Equipment rental agency,https://www.coates.com.au/find-a-branch/whyalla?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=whyalla
AutoRealty Consulting P/L,+61 415 358 086,Builder,
McMahon Services Whyalla,+61 8 8644 0168,Demolition contractor,https://www.mcmservices.com.au/
Environ Plumbing,+61 1300 911 531,Plumber,http://www.environplumbing.com.au/
Holcim Australia - Whyalla,+61 408 781 899,Ready mix concrete supplier,https://www.holcim.com.au/
Caledonia Group Whyalla,+61 448 488 485,Industrial equipment supplier,https://www.caledoniagroup.com.au/
Construction Sciences Whyalla,+61 8 8164 3929,Soil testing service,https://www.constructionsciences.net/
Hire a Handyman Whyalla,+61 8 8645 2165,Handyman/Handywoman/Handyperson,https://www.handymanwhyalla.com.au/
Lucas Total Contract Solutions,+61 8 8179 4000,Contractor,https://lucastcs.com.au/
Metric Consulting Engineers,+61 8 7120 6220,Engineer,https://metricce.com.au/
Whyalla Scaffolding,+61 8 8645 2833,Scaffolding Hire Service,https://whyallascaffolding.com.au/
CITC,+61 8 8301 4500,Training center,https://www.citc.com.au/
Inner Harbour Product Berth,,Construction company,
Liberty Primary Steel Administration,,Steel construction company,
Workforce Extensions Whyalla,+61 460 303 044,Employment agency,https://www.workext.com.au/whyalla/
