Company Name,Phone Number,Category,Website URL
Smith & Sons Renovations & Extensions Ballarat,+61 1300 787 577,Construction company,https://www.smithandsons.com.au/renovation-builder/ballarat-1382/
Ballarat Construction Management,,Construction company,http://www.ballaratcm.com.au/
Ballarat Excavators,+61 3 5324 2237,Excavating contractor,http://www.ballaratexcavators.com.au/
Oasis Building Group,+61 3 4317 4904,Custom home builder,http://www.oasisbuild.com/
G.J. Gardner Homes - Ballarat,+61 3 5334 4099,Home builder,https://www.gjgardner.com.au/home-builders/victoria/ballarat-3049/?utm_campaign=GMB&utm_source=google&utm_medium=organic
JD Building Co,+61 408 177 084,Home builder,http://www.jdbuildingco.com.au/
Detailed Building,+61 418 110 679,Carport and pergola builder,http://www.detailedbuilding.com.au/
OYL Constructions - Local Builder in Ballarat,+61 403 642 808,Construction company,https://oylconstructions.com.au/
Evoke Building Group,+61 3 4333 9445,Construction company,https://www.evokegroup.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
J & K Civil Maintenance,+61 432 203 084,Construction company,https://jkcivilmaintenance.com.au/
Aven Projects,+61 466 498 398,Skylight contractor,http://avenprojects.com.au/
Dracon Construction - Local Ballarat Builders,+61 422 942 505,Home builder,https://dracon.com.au/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB%20Profile
Bluey's,+61 1300 275 258,Repair service,http://blueys.net/
Dirtworks Earthmoving & Concreting,+61 400 567 891,Earth works company,http://dirtworksballarat.com.au/
Hardy Construction Group Pty Ltd,+61 408 831 704,Construction company,http://www.hardyconstructiongroup.com.au/
Central Vic Civil Pty Ltd,+61 3 5335 3399,Construction company,https://www.centralviccivil.com.au/
Enoch Civil,+61 3 5338 2499,Construction company,http://www.enochcivil.com.au/
M Toohey Construction,+61 447 300 928,Carpenter,http://www.mtooheyconstruction.com.au/
Ballarat Trade Services,+61 407 780 749,Plumber,
Regional Contractors Equipment Hire (Ballarat Hire Pty Ltd),+61 3 5339 9222,Equipment rental agency,https://www.regionalcontractors.com.au/
James Construction Ballarat,+61 3 5332 2700,Construction company,
McMaster Designer Homes,+61 3 5333 3881,Home builder,http://www.mcmasterhomes.com.au/
Jetsonian Constructions,+61 458 037 256,Construction company,https://www.jetsonian.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Ballarat Earthmoving,+61 3 5336 1945,Earth works company,http://ballaratearthmoving.com.au/
EMC Contracting,,Electrician,http://emccontracting.com.au/
Hudson Ridge Builders,+61 3 5332 6889,Custom home builder,http://hudsonridge.com.au/
Des Rix Homes,+61 3 5332 1767,Home builder,http://www.desrixhomes.com.au/
Q Construction Pty Ltd,,Construction company,https://www.qconstruction.com.au/
BCM Homes,+61 3 5334 4882,Construction company,https://bcmhomes.com.au/
Civil By Parker,+61 400 354 499,Asphalt contractor,http://www.civilbyparker.com.au/
J.V Dodd Building Pty Ltd,+61 3 4320 0718,Home builder,https://jvdoddbuilding.com.au/
BC Construction & Concreting,+61 447 008 327,Construction company,https://www.bccconcreting.com/
JRC Building Trade,+61 467 857 360,Carpenter,http://jrcbuildingtrade.com/
Craig Thorne Tiling Pty Ltd,+61 412 919 614,Bathroom remodeler,https://craigthornetiling.com.au/
J Con Building Services,+61 439 550 388,Construction company,https://jconbuilding.com/
S J Weir (Ballarat) Pty Ltd,+61 3 5339 1051,Construction company,http://www.sjweir.net/
Terrain Earthmoving Civil & Hire,,Construction company,
Christie McCammon Builders Ballarat,+61 412 531 975,Home builder,https://www.christiemccammonbuildersballarat.com.au/
JLP Consulting Engineers Pty Ltd,+61 468 521 750,Engineering consultant,http://www.jlpconsulting.com.au/
Twomey Homes,+61 3 5336 3026,Construction company,https://www.twomeyhomes.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Jonathan Flind Building and Carpentry,+61 439 724 274,Home builder,
Macneil Group,+61 3 5322 5200,Home builder,https://www.macneilgroup.com.au/
High Tower Concrete Cutting,+61 432 089 194,Concrete contractor,http://www.hightowerconcretecutting.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
One finish plastering and insulation,+61 423 303 880,Dry wall contractor,https://www.facebook.com/onefinishplastering/
Emergency Water Damage Restoration Service Ballarat Central,+61 3 4251 0951,Water damage restoration service,
Hayden Bromley Building Pty Ltd,+61 409 258 587,Home builder,http://haydenbromleybuilding.com.au/
Here Studio Architects - Ballarat,+61 3 8899 7213,Architect,https://www.herestudio.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
DAC Earthmoving & Fire Prevention Services,+61 406 808 064,Excavating contractor,https://www.dacearthmoving.com.au/
Bayside Demolition Pty Ltd,+61 488 008 679,Demolition contractor,https://www.baysidedemolition.com.au/
Haintz Plastering and Maintenance,+61 407 348 968,Dry wall contractor,https://www.facebook.com/haintzplastering/
RHA Concrete and Landscaping Ballarat,+61 401 463 647,Concrete contractor,http://www.rhaconcrete.com.au/
ARC Design + Build,+61 413 084 447,Building firm,http://arcdesignbuild.com.au/
MKM Building Group Pty Ltd,+61 3 5331 6694,Construction company,http://www.mkmcon.com.au/
SGL Contracting Pty Ltd,+61 417 301 592,Construction company,https://www.facebook.com/SGLCon/
