Company Name,Phone Number,Category,Website URL
"Beijing Jinyun Construction Company Engineering Co.,Ltd.",,Construction company,
"Beijing Construction Engineering Group Co.,Ltd.",,Construction company,https://www.bcegc.com/
"Beijing Urban Construction Group Co.,Ltd.",,Company,
Beijing Wanxing Construction Company Group Corporation Directly Under Qichu,,Construction company,http://www.wxjzh.com/
China Construction Bank （Beijing Branch） Yonghe Consumption Credit Center,,Bank,
T+Construction Company,,Construction company,
Beijing Jingbao Construction Company,,Construction company,
Zhongtian Construction Group Company Ltd. Beijing Company,,Construction company,http://zjzhongtian.com/
"Beijing Chaohui Construction Engineering Co., Ltd.",,Construction company,
Hong Kong Hexianyi Construction Company Engineering Shilou （China） Limited Company Beijing Representative Office,,Construction company,
Beijing Wangjing Ching Kai Construction Ltd.,+86 10 6470 2945,Construction company,
Beijing Huacheng Construction Company Development Company,,Construction company,
Beijing Guodu Construction Devlopment Limited Company,,Construction company,
"Beijing Kuangjian Construction Company Installation Co.,Ltd.",,Construction company,
"Beijing Jiaoyuan Construction Co., Ltd.",,Construction company,
China Xinchengshi Construction,,Construction company,
"Beijing Peace Construction Company Installation Co., Ltd.",,Construction company,
Beijingshan Hemu Construction Company Labor Limited Company,,Construction company,
"Beijing Sanyuan Great Wall Construction Company Co.,Ltd.",,Construction company,
Beijing Yunliangwan Jijianzhu Company,,Construction company,
"Tianhong Yuanfang Construction Company Design Co.,Ltd.",,Construction company,
"Beijing Ruiding Jiaye Construction Company Decoration Co., Ltd.",,Construction company,
Beijing Dalong Construction Group Company Ltd.,,Construction company,
"Beijing Yanjing Construction Company Engineering Co.,Ltd.",,Construction company,
Beijing Xiangxingyuan Construction Company Liability Limited Company,,Construction company,
"Beijing Jinghai Jiade Construction Engineering Co., Ltd. （North Gate）",,Construction company,
Beijing Wandewen Mai International Construction Company Design Consultation Limited Company,,Construction company,
"Beijing Yonghaotai Dejianzhu Technology Co., Ltd. （Northeast Gate）",,Construction company,
"Beijing Dalong Shunfa Construction Company Engineering Co.,Ltd.",,Construction company,
Beijing Dongxing Building Engineering Company,,Construction company,
Beijing Construction Sijiangong Cheng Construction Limited Company,+86 10 6718 5054,Construction company,
Beijing Zhongrun Daxing Bidding Agency Limited Company,,Construction company,
Beijing Xicheng Yuanda Construction Company Investment Limited Company,,Construction company,
China Construction Bank Beijing Chaoyang Dongcheng Road Savings Bank,+86 10 6429 4575,Bank,http://www.ccb.com/
"Beijing Baodesen Architecture and Engineering Co., Ltd.",,Construction company,
"Beijing Jinshi Guanglong Construction Consulting Co.,Ltd.",,Construction company,
Beijing Riyue Tongda Construction Company,+86 10 6968 5856,Construction,
China Construction Bank,,Bank,http://www.ccb.com/
China Construction Materials Beijing Company New Type Construction Material Division,,Company,
"Beijing China Ethnic Tianhe Construction & Decoration Engineering Co.,Ltd.",,Construction company,
Beijing Linji Building Engineering Company,,Construction company,
"Beijing Fada Yongxing Construction Company Engineering Co.,Ltd.",,Construction company,
"Hp-Enfi Architects And Engineers Co.,Ltd.",,Construction company,
Beijing Jinfeitian Hong Construction Machinery Limited Company,,Manufacturer,
"Chonghua Architecture and Engineering Design Institute Co., Ltd. （Southwest Gate）",,Construction company,
"Beijing Tangjian Construction Labor Service Co.,Ltd.",,Corporate office,
"Beijing Weikai Construction Development Co., Ltd.",,Construction,
"Beijing Guoxing Safety Construction Engineering Co., Ltd.",,Construction,
China Construction Bank Beijing Jinan Subbranch,,Bank,http://www.ccb.com/
"Beijing Urban and Rural Zhonghao Construction Co., Ltd.",,11 Yongdingmendongbinhe Rd,
"Beijing Future Science Town Development Construction Co., Ltd.",,Construction,
Beijing Jingyuan Construction Decoration,,Business center,
"Beijing Tianhou Jiaye Estate Agency Co.,Ltd.",,Company,
"China Sciences Baoxin (Beijing) Construction Engineering Co.,Ltd.",,Corporate office,
Beijing Fuping Housekeeping,+86 10 6336 0962,House cleaning service,
"Jiangyou Kefa Const. Labor Co.,Ltd.",,Corporate office,
Beijing Huiyi Construction Installation Engineering Department,,Company,
Jia Tiandi,,Interior designer,
"Beijing Shuangfuli Architecture and Engineering Co., Ltd.",,Construction,http://www.sflbj.com/
"Beijing Ruipu Construction Decoration Engineering Co.,Ltd.",,Company,
"Beijing Shuangyue Architecture and Engineering Co., Ltd.",,Construction,
"Beijing Shuangwan Fujian Zhugongcheng Co., Ltd.",,Construction,
"Zhonghang Shengshi （Beijing） Construction Decoration Engineering Co.,Ltd.",,Advertising agency,
Johnson Controls,,HVAC contractor,https://www.johnsoncontrols.com/zh_cn
Zongli Geguo Affairs Yamen Construction Yicun,,49 Dongtangzi Hu Tong,
GS Engineering & Construction Beijing Office,,Company,
"Beijing Feihong Architecture and Engineering Co.,Ltd.",,Construction,
Beijing Construction BPHL,,"Jianguomen Outer St, 建国门外大街丙24号京泰大厦1006",
北京谊发建筑工程有限公司,+86 10 6439 2638,Company,
"Beijing Huachenchaoye Real Estate Broker Co., Ltd.",+86 10 5269 1216,Real estate agency,
Heke （Beijing） International Construction Consultation Limited Company,,Company,
China Construction Bank Beijing Branch Education Training Center,,Instruction,
"Luhe Yonghui （Beijing） Construction Investment Co., Ltd.",,香江北路6号,
"Beijing Jingyan Communication Equipment Co., Ltd.",,Telecommunications contractor,
Beijing Xingyun Commerce Construction Economy Development Company,,Company,
Beijing Gongyi Yuanjiawu Laodongfuwu Center,,House cleaning service,
香港红日投资国际集团有限公司,+86 10 8518 2588,Real estate developer,
"Beijing Chang'an Wooden Industry Co.,Ltd.",,Company,
"Yarui Architecture Design Co., Ltd.",,Construction,
国瑞置业营业厅,+86 10 6711 9080,House cleaning service,
China Chemistry Engineering No.13 Construction Company Beijing Project Department,,Company,
,,,
