Company Name,Phone Number,Category,Website URL
Obayashi Corporation,+81 6-6456-7000,Construction company,https://www.obayashi.co.jp/
Takenaka,+81 6-6252-1201,Contractor,https://www.takenaka.co.jp/
JEE大阪解体事業部,+81 595-53-1717,Demolition contractor,https://jee.inc/
Taisei Corporation Kansai Branch,+81 6-6265-4504,Construction company,http://www.taisei.co.jp/
Fujita Osaka,+81 6-6348-4510,Construction company,http://www.fujita.co.jp/
Takamatsukensetsu Honsha /,+81 6-6307-8101,Construction company,https://www.takamatsu-const.co.jp/
株式会社シーエムシー一級建築士事務所,+81 6-4798-7890,Remodeler,https://www.xn--ick3ab7n8ed.com/
Aomikensetsu Osaka Shiten,+81 6-4964-1010,Construction company,https://www.aomi.co.jp/company/office.html
東洋建設（株） 大阪本店,+81 6-6209-8711,Construction company,https://www.toyo-const.co.jp/company/office/osaka
Shinosaka Construction,+81 120-957-988,Contractor,http://www.shinosaka.co.jp/
東亜建設工業大阪支店,,Construction company,
Orion Construction,+81 6-6353-1521,Construction company,https://www.orionkensetu.co.jp/
Nakabayashi Construction,+81 6-6647-7575,Construction company,https://www.nakabayashi-kensetsu.co.jp/
Osaka Bousui Construction Co..Ltd.,+81 6-6762-5621,Construction company,https://www.obcc.co.jp/
株式会社OSK,+81 6-6477-9321,Construction company,https://www.osk-idex.co.jp/
飛島建設株式会社 大阪支店,+81 6-6227-6200,Construction company,https://www.tobishima.co.jp/
青木あすなろ建設（株） 大阪本店,+81 6-6440-1810,Contractor,
日宝建設工業（株）,+81 6-6448-0321,Construction company,http://www.nippoo.co.jp/
大末建設（株） 大阪建設事業部,+81 6-6121-7128,Construction company,
ザウス大阪店,+81 120-360-354,Custom home builder,http://www.zaus-co.com/
高松建設（株） 大阪機材センター,+81 6-6302-1217,Construction company,https://www.takamatsu-const.co.jp/
新大阪工業（株）,+81 6-6536-0561,Construction company,http://www.shinosaka-kk.co.jp/
若築建設（株） 大阪支店,+81 6-6261-6736,Construction company,https://www.wakachiku.co.jp/company/offices.html
Osakasaisekienjiniaringu,+81 6-6485-7203,Contractor,https://www.osakasaiseki.co.jp/engineering
株式会社アクト 建築本部,+81 6-6375-1169,Construction company,https://acto.co.jp/
Oemu Construction,+81 6-6373-3241,Construction company,http://www.ooem-k.co.jp/
（株）浪花組,+81 6-6211-1501,Construction company,https://naniwagumi.co.jp/
Tekkenkensetsu Osaka Shiten,+81 6-6343-5581,Construction company,https://www.tekken.co.jp/
奈良建設株式会社 大阪支店,+81 6-6375-2131,Construction company,https://www.nara-const.co.jp/aboutus/
Yodobashi Camera Multimedia Umeda,+81 6-4802-1010,Electronics store,https://www.yodobashi.com/ec/store/0081/
Misawa Home Kinki Osaka Shiten,+81 120-700-041,Real estate agent,https://www.misawa.co.jp/navi/office/detail/oosaka/2332/?utm_source=google&utm_medium=gmb&utm_campaign=websiteurl_2332&tid=3
ビッグ総合開発株式会社,+81 6-4796-7720,Construction company,http://www.bigsogo.co.jp/
Takashima Osaka Shiten,+81 6-6121-6002,Construction company,http://www.tak.co.jp/
DAIKEN株式会社 本社大阪事務所,+81 120-787-505,Corporate office,https://www.daiken.jp/
大阪建設興業（株）,+81 6-6488-1881,Construction company,
Nittokukensetsu Osaka Shiten,+81 6-6232-2109,Construction company,https://www.nittoc.co.jp/company/locations/
